rank,region_id,region_name,province_name,district_name,hospital_code,hospital_name,hospital_type,masks,encounters,citizens,masks_per_citizen,answered,unanswered,answered_pct,median_reply_hours,p90_reply_hours,oldest_unanswered_days,matched,unmatched,match_rate_pct,masks_prior_90d,masks_recent_90d,change_90d_pct,share_pct,first_date_be,last_date_be,status_pending,status_in_progress,status_completed,status_no_error_found,status_not_recorded,status_unexpected_code,action_none_yet,action_data_corrected,action_other,action_not_recorded,action_unexpected_code
21,2,เขตสุขภาพที่ 2,พิษณุโลก,บางกระทุ่ม,07547,โรงพยาบาลส่งเสริมสุขภาพตำบลสนามคลี,โรงพยาบาลส่งเสริมสุขภาพตำบล,8,8,1,8.0,0,8,0.0,,,6.6,8,0,100.0,0,1,,1.47,25660202,25690528,0,0,0,0,8,0,0,0,0,8,0
22,2,เขตสุขภาพที่ 2,พิษณุโลก,เนินมะปราง,07602,โรงพยาบาลส่งเสริมสุขภาพตำบลไทรย้อย,โรงพยาบาลส่งเสริมสุขภาพตำบล,8,8,2,4.0,0,8,0.0,,,5.2,8,0,100.0,0,0,,1.47,25650217,25680220,0,0,0,0,8,0,0,0,0,8,0
23,2,เขตสุขภาพที่ 2,พิษณุโลก,เนินมะปราง,07598,โรงพยาบาลส่งเสริมสุขภาพตำบลชมพู,ศูนย์บริการสาธารณสุข อปท.,7,7,1,7.0,0,7,0.0,,,2.0,7,0,100.0,0,0,,1.28,25630227,25660908,0,0,0,0,7,0,0,0,0,7,0
24,2,เขตสุขภาพที่ 2,พิษณุโลก,บางระกำ,07531,โรงพยาบาลส่งเสริมสุขภาพตำบลบึงกอก,โรงพยาบาลส่งเสริมสุขภาพตำบล,7,7,2,3.5,0,7,0.0,,,6.7,7,0,100.0,0,0,,1.28,25640112,25680707,0,0,0,0,7,0,0,0,0,7,0
25,2,เขตสุขภาพที่ 2,พิษณุโลก,วังทอง,07587,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดงพลวง,โรงพยาบาลส่งเสริมสุขภาพตำบล,7,7,1,7.0,7,0,100.0,47.3,47.8,,7,0,100.0,1,0,-100.0,1.28,25650629,25690423,0,0,0,0,7,0,0,0,0,7,0
26,2,เขตสุขภาพที่ 2,พิษณุโลก,วัดโบสถ์,11255,โรงพยาบาลวัดโบสถ์,โรงพยาบาลชุมชน,6,6,5,1.2,0,6,0.0,,,7.7,6,0,100.0,1,0,-100.0,1.1,25640628,25690211,2,0,0,0,4,0,2,0,0,4,0
27,2,เขตสุขภาพที่ 2,พิษณุโลก,พรหมพิราม,07555,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาขุม,โรงพยาบาลส่งเสริมสุขภาพตำบล,6,6,1,6.0,0,6,0.0,,,3.8,6,0,100.0,0,0,,1.1,25670118,25681217,0,0,0,0,6,0,0,0,0,6,0
28,2,เขตสุขภาพที่ 2,พิษณุโลก,บางระกำ,07532,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองกุลา,ศูนย์บริการสาธารณสุข อปท.,6,6,2,3.0,0,6,0.0,,,7.0,6,0,100.0,0,0,,1.1,25631211,25681201,0,0,0,0,6,0,0,0,0,6,0
29,2,เขตสุขภาพที่ 2,พิษณุโลก,นครไทย,11455,โรงพยาบาลสมเด็จพระยุพราชนครไทย,โรงพยาบาลชุมชน,5,5,4,1.25,0,5,0.0,,,10.0,5,0,100.0,2,0,-100.0,0.92,25670813,25690428,0,0,0,0,5,0,0,0,0,5,0
30,2,เขตสุขภาพที่ 2,พิษณุโลก,วัดโบสถ์,07570,โรงพยาบาลส่งเสริมสุขภาพตำบลท่างาม,โรงพยาบาลส่งเสริมสุขภาพตำบล,5,5,2,2.5,0,5,0.0,,,4.9,5,0,100.0,0,0,,0.92,25611219,25690126,1,0,0,0,4,0,1,0,0,4,0
